Title,Price,TV Brad
"Vision Plus VP8832DB - 32"" Digital HD LED TV - Black + FREE WALL MOUNT","KSh 11,699",Vision
"Skyworth 32WH3 - 32"" Super Narrow Bezel Digital HD LED TV - Black","KSh 11,999",Skyworth
Haier 32'' Digital LED TV LE32 - Black,"KSh 11,999",Haier
UKA 43'' Full HD Digital TV - Black,"KSh 20,499",UKA
"Vision Plus VP8832DB, 32"", Digital HD LED TV - Black + FREE WALL MOUNT","KSh 11,690",Vision
"Vastel 40"" 40VT400SA Full HD Digital LED TV - Black","KSh 16,995",Vastel
"Vitron 32"" Inch - HD LED Digital TV+ A FREE TV Guard","KSh 12,499",Vitron
"Aiwa JH24DT300S M7J Series - 24"" HD Digital LED Bass TV - Black","KSh 7,999",Aiwa
"Haier LE24T2000 - 24"" Digital TV - Black","KSh 8,399",Haier
Lyons 32'' LED Digital TV - Black,"KSh 11,499",Lyons
"TCL 32-Inch HD Digital Flat TV,HDMI","KSh 13,790",TCL
"Haier LE32F6000 - 32""  HD LED Slim Digital TV - Black","KSh 12,995",Haier
"Vision Plus 32"" Digital HD LED TV - Black ","KSh 11,689",Vision
"Sonar DVB-T2, 22"" LED DIGITAL TV - Black.","KSh 6,499",Sonar
"Sony 32"" 32R300E Digital LED HD TV - Black","KSh 18,499",Sony
"StarMax M22 22"" - HD Digital LED TV - Black","KSh 6,400",StarMax
"Syinix 32S610 - 32"" HD LED Digital TV - Black","KSh 12,490",Syinix
"Solarmax 22"" Digital LED TV DC/AC - Black","KSh 6,395",Solarmax
"Samsung 32"" 32N5000 Digital Full HD TV Series 5 - Black","KSh 18,399",Samsung
"Vitron 32"" Inch - HD LED Digital TV","KSh 11,898",Vitron
TCL 32D3001-32INCH-HDDigital LED TV PLUS FREE 14-42 BRACKET,"KSh 14,190",TCL
Iconix 32'' HD Digital LED TV AC/DC 32L12 Vividly Clear Images.,"KSh 11,795",Iconix
"SKYWAVE 24” Inches,LED DIGITAL TV - Black","KSh 7,895",SKYWAVE
"Vitron 32"" Inches - FULL_HD Digital LED_TV With HDMI Output","KSh 12,290",Vitron
"Haier LE32U5500  - 32"" HD Built-In Receiver Slim Digital TV -Black","KSh 13,395",Haier
Glaze 40” HD LED Digital TV - Black,"KSh 17,895",Glaze
"Haier 24F6000 - 24"" HD LED Digital TV - Black","KSh 9,195",Haier
"StarMax M22 22"" - HD Digital LED TV - Black","KSh 6,445",StarMax
Vitron 24 INCH - Digital LED TV - Black,"KSh 8,999",Vitron
Vitron 32 Inch HD LED Digital TV - Black,"KSh 12,599",Vitron
"Vitron 32"" - HD LED Digital TV+Free Wall Bracket - Black","KSh 12,699",Vitron
"32"" Inches - FULL_HD Digital LED_TV With HDMI Output","KSh 11,499","32"""
"Syinix 32"", HD LED Digital TV - Black","KSh 11,999",Syinix
Synix 24” Full HD LED Digital TV- BLACK,"KSh 9,999",Synix
"MEC Mec39 - 39"" HD LED Digital TV - Black","KSh 16,845",MEC
TCL 32D3001- 32INCH- HDDigital LED TV PLUS FREE 32GB FLASHDISK ,"KSh 14,190",TCL
Skyworth Skyworth32WH3 - 32 SuperNarrow Bezel Digital HD LED TV ,"KSh 12,199",Skyworth
Generic Generic Digital TV Aerial + 10mtr Cable + Free Cable Clips,KSh 740,Generic
"Skyworth 32WH3-32"" DVBT2 FRAMELESS HD Digital LED Clear Motion TV","KSh 12,455",Skyworth
"Royal 22RL19HT2-22"" LED FULL SCREEN TV","KSh 6,500",Royal
,,
,,
,,
,,
,,
,,
,,
,,
