Title,Price,TV Brad
JTC J801 2.1CH Speaker System 80W - White,"KSh 7,795",JTC
Polysonic MP 74 - Multimedia Speaker 2.1CH - Black,"KSh 2,948",Polysonic
Polysonic MP-3315 - Multimedia Speaker System 3.1CH - Black,"KSh 5,499",Polysonic
VON HA2031B/VES0202ES 2.1 Subwoofer - 20W,"KSh 2,940",VON
Dream Sound Series D-6030 3.1CH Speaker System 60W - Black,"KSh 4,995",Dream
"Ampex Sub Woofer-Speaker System Bluetooth,FM,SB/USB 8800WATTS","KSh 3,300",Ampex
Vitron HOME THEATER BLUETOOTH SPEAKER SUB-WOOFER SYSTEM 3.1 CH 10000W,"KSh 6,800",Vitron
"Ampex 2.1 8500W SUBWOOFER SPEAKER(Bluetooth,USB,SD,FM)","KSh 3,490",Ampex
Polysonic MP-3319 Multimedia Speaker System 3.1CH - Black,"KSh 5,499",Polysonic
LG XBOOM CL65 - 900 Watts,"KSh 45,000",LG
Royal Sound P36 2.1 CH 10000 W SUB WOOFER,"KSh 3,530",Royal
Ampex SubWoofer Hometheater Systems WOOFER 10000 Watts.PMPO - BLUETOOTH/USB/SD/DigitalFM RADIO,"KSh 4,950",Ampex
"Ampex 3,1 Bluetooth Sub-Woofer 40000Watts,FM,USB Port,SD","KSh 6,699",Ampex
"Royal Sound Sub woofer,Hitech MultiMedia System-FM-USB,Wireless Bluetooth,USB,FM-10,000 watts-black","KSh 3,999",Royal
Vitron  Multi-Media Sub-woofer Speaker System Bluetooth\FM Radio\USB  - 4500W PMPO - USB/SD/FM DIGITAL RADIO -,"KSh 3,900",Vitron
"Royal Sound Subwoofer,Hitech MultiMedia SpeakerSystem-FM-USB,Wireless Bluetooth,USB,FM-10,000 watts","KSh 3,900",Royal
"Fboss 2.1 8000W MULTIMEDIA SUBWOOFER SPEAKER(Bluetooth,USB,SD Card,FM,DVD)","KSh 3,490",Fboss
Ampex Subwoofer System - 3.1Chan Woofer - 12000W PMPO - Bluetooth/USB/SD/FM 3.1CH DigitalRadio,"KSh 6,499",Ampex
"Royal Sound Sub Woofer System-FM-USB,Wireless Bluetooth,12000W","KSh 6,100",Royal
Home Star  HS-1052 3.1CH Multimedia Speaker 40000W - Black,"KSh 5,670",Home
"VON VES3005FS Subwoofer 5.1CH, Bluetooth,USB - 300W","KSh 15,995",VON
"Shifa 337 3.1 CH 10,000W HOMETHEATRE BT/FM/USB/SD/AUX","KSh 6,200",Shifa
"Ampex Hi-Fi Bluetooth Music System ,FM,USB,10000Watts","KSh 3,538",Ampex
Vitron  441 Multi-Media Sub-woofer Speaker System Bluetooth\FM Radio\USB  - 4500W PMPO -,"KSh 3,990",Vitron
Ampex P32 2.1CH SUBWOOFER SPEAKER - 10000W,"KSh 3,350",Ampex
Vitron Vitron 635 3.1CH HOME THEATR SYSTEM ,"KSh 5,899",Vitron
JTC J608+ 2.1CH Speaker System 70W - Black,"KSh 6,195",JTC
Vision Plus 2.1CH Subwoofer Bluetooth 60 Watts RMS - Black,"KSh 5,699",Vision
XieBoss HomETheaterSystem SubwooferBluetooth/FM/USB-10000w,"KSh 6,000",XieBoss
Ampex 8101- 40000Watts-Bluetooth subwoofer /USB/SD/FM,"KSh 7,200",Ampex
XieBoss  3.1ch-HomETheater System Subwoofer Speaker,"KSh 6,699",XieBoss
"Sayona SHT-1262BT, Subwoofer With Medium Range Tall Boy Speakers","KSh 11,249",Sayona
"Sayona SHT-1212, BT AC/DC, Sub-woofer System - Black","KSh 6,500",Sayona
"VON HA9630BT/VES0962ES, 2.1CH Bluetooth Subwoofer- 96W","KSh 7,760",VON
Sada SADA D-202 USB Wired Combination Speakers Computer Speakers Bass Stereo Music Player Subwoofer Sound Box for Desktop Laptop Notebook Tablet PC Smart Phone,"KSh 2,281",Sada
Lyons ELP-2563- 2.1CH Multimedia Speaker System,"KSh 3,490",Lyons
Lyons ELP-2562- 2.1CH Multimedia Speaker System,"KSh 2,998",Lyons
"Sayona SHT-1219 BT - 2.1 CH Multimedia Speaker Subwoofer,5500W PMPO","KSh 4,810",Sayona
"Ampex Sound System, 2.1 Channel Woofer - 10000W PMPO","KSh 4,580",Ampex
Sayona SHT-1192BT - Sub-woofer System -Tallboy – Black.,"KSh 15,350",Sayona
,,
,,
,,
,,
,,
,,
,,
,,
