Title,Price,TV Brad
"UKA 50"" UHD Smart LED TV - Black","KSh 29,999",UKA
"Skyworth 32E10 - 32"" Super Narrow Google Android Smart LED TV - Black","KSh 15,299",Skyworth
"Haier LE32KA6500A - 32"" Full HD LED Ultra Slim Smart TV - Black","KSh 15,995",Haier
"UKA 32"" HD Smart LED TV - Black","KSh 14,599",UKA
"TCL S68A - 32"" Frameless Smart Android TV - Black","KSh 17,290",TCL
EEFA 43LN4100S - 43'' Smart Android Digital LED TV - Black,"KSh 22,999",EEFA
"Haier 43"" LE43K6600UA FHD Frameless Ultra Slim Smart TV - Black","KSh 29,995",Haier
"Royal 43"" FHD4300SAS1-JM Smart LED TV - Black","KSh 25,995",Royal
"Samsung 43"" 43NU7090 HDR Smart UHD 4K LED TV Series 7 - Black","KSh 43,999",Samsung
"Samsung 32T5300 32"" Smart LED Full HD TV - Black","KSh 22,000",Samsung
"Skyworth 55"" 55Q20 LED Smart Android Ultra HD 4K TV - Black","KSh 49,499",Skyworth
"LG 75"" 75UM7180 Smart Ultra HD 4K HDR LED TV - Black","KSh 202,999",LG
"Samsung 49"" 49N5300 Smart Full HD TV Series 5 - Black","KSh 47,499",Samsung
"Hisense 32"" 32B6000 Smart HD LED TV - Black","KSh 18,495",Hisense
"Skyworth 43TB7000 - 43"" Frameless Smart Android LED TV - Black","KSh 28,999",Skyworth
"UKA 55"" UHD Smart LED TV - Black","KSh 37,999",UKA
"Syinix 43T730F, 43"", Full HD, Smart Digital TV","KSh 25,150",Syinix
"Bruhm BTF - 32HDTSP, 32"", LED SMART & Digital TV - Black","KSh 20,990",Bruhm
"MCTV 4310 43"" HD LED Smart TV - Black.","KSh 24,995",MCTV
"Ctroniq 55CT8200 - 55"" 4K Ultra HD Smart LED TV - Black","KSh 45,999",Ctroniq
"Vision Plus VP-8832SF 32"", SMART TV – Black + FREE WALL MOUNT","KSh 16,999",Vision
"LG 65C9PVA 65"" OLED 4K TV SMART - 2019 - Black","KSh 399,999",LG
"Royal 32"" HD3200SAT1-JM Smart LED TV - Black","KSh 14,995",Royal
"Hisense 50B7100UW - 50"" UHD 4K LED Smart TV - Series 7 -2020","KSh 39,599",Hisense
"LG 65C9PVA 65"" OLED 4K TV SMART - Black","KSh 674,995",LG
"Hisense  55B7206UW - 55"" UHD 4K ANDROID TV - Series 7- Black","KSh 56,599",Hisense
"Hisense  32B6000HW , 32"" Smart Full HD Digital LED TV - 2020 Model","KSh 18,100",Hisense
"Vision Plus VP8843C - 43"" FHD Android TV Black + FREE Wall Mount","KSh 29,606",Vision
"TCL 43” ANDROID TV, NETFLIX, YOUTUBE 43S6500 - Black","KSh 33,300",TCL
Sony KD - 65A9G 65 Inch TV -  MASTER Series - BRAVIA OLED 4K Ultra HD Smart TV with HDR and Alexa Compatibility - 2019 Model - Black,"KSh 409,999",Sony
LG 43” Smart UHD 4K LED TV – Black,"KSh 40,999",LG
"Sony 85X8500G 85"" 4K HDR Android Smart LED TV - Black","KSh 400,490",Sony
"Samsung UA75NU8000K - 75"" - 4K Ultra HD LED Smart TV - Black","KSh 328,999",Samsung
"Hifinit By Haier 65"" UHD Smart LED TV 4K - Black + FREE Wall Mount","KSh 59,399",Hifinit
Hisense 50B7100UW 50'' Smart UHD 4K LED TV - Black,"KSh 40,799",Hisense
"Vision Plus VP8850K 50"" Frameless 4K UHD Smart Android TV - Black + FREE Wall Mount + 30 Days FREE Showmax","KSh 34,999",Vision
"Synix 32"" SMART ANDROID TV (NETFLIX, YOUTUBE,HDMI,USB)","KSh 17,300",Synix
"Sony 40W650D, 40"", Full HD Digital LED Smart TV - Black","KSh 33,899",Sony
"Hisense 49B6000PW - 49"" - Smart Full HD Digital LED TV - Black - New 2019 Model","KSh 35,499",Hisense
"LG 32LM630BPVB - 32"" Smart LED TV - Inbuilt Wi-Fi - New Model - Black","KSh 22,759",LG
,,
,,
,,
,,
,,
,,
,,
,,
